cod,area,livello,cod_reg,cod_prov,cod_com,desc_com,desc_prov,desc_reg,elettori_m,elettori_f,elettori_t,sezioni_tot,quesito_cod,sezioni_perv,votanti_m,votanti_f,votanti_t,perc_vot,sk_bianche,sk_nulle,sk_contestate,voti_si,voti_no,perc_si,perc_no,cod_istat,cod_prov_istat
010000000,italia,regione,01,,,,,PIEMONTE,0,0,3302867,4790,1,3701,0,0,0,0,0,0,0,714817,810646,"46,86","53,14",,
020000000,italia,regione,02,,,,,VALLE D'AOSTA,0,0,97949,150,1,77,0,0,0,0,0,0,0,13110,12899,"50,41","49,59",,
030000000,italia,regione,03,,,,,LOMBARDIA,0,0,7573390,9258,1,5905,0,0,0,0,0,0,0,1586797,1367220,"53,72","46,28",,
040000000,italia,regione,04,,,,,TRENTINO-ALTO ADIGE,0,0,819907,1019,1,716,0,0,0,0,0,0,0,134536,136847,"49,57","50,43",,
050000000,italia,regione,05,,,,,VENETO,0,0,3750541,4729,1,3637,0,0,0,0,0,0,0,1041717,756108,"57,94","42,06",,
060000000,italia,regione,06,,,,,FRIULI-VENEZIA GIULIA,0,0,931759,1354,1,1096,0,0,0,0,0,0,0,247911,207069,"54,49","45,51",,
070000000,italia,regione,07,,,,,LIGURIA,0,0,1180907,1784,1,1624,0,0,0,0,0,0,0,279958,379744,"42,44","57,56",,
080000000,italia,regione,08,,,,,EMILIA-ROMAGNA,0,0,3365899,4525,1,4156,0,0,0,0,0,0,0,874930,1164416,"42,90","57,10",,
090000000,italia,regione,09,,,,,TOSCANA,0,0,2797496,3923,1,3739,0,0,0,0,0,0,0,731343,1014959,"41,88","58,12",,
100000000,italia,regione,10,,,,,UMBRIA,0,0,658041,997,1,903,0,0,0,0,0,0,0,181782,194175,"48,35","51,65",,
110000000,italia,regione,11,,,,,MARCHE,0,0,1157822,1570,1,1396,0,0,0,0,0,0,0,299656,349122,"46,19","53,81",,
120000000,italia,regione,12,,,,,LAZIO,0,0,4350049,5314,1,3849,0,0,0,0,0,0,0,847572,1040207,"44,90","55,10",,
130000000,italia,regione,13,,,,,ABRUZZO,0,0,1015495,1628,1,1217,0,0,0,0,0,0,0,213047,228427,"48,26","51,74",,
140000000,italia,regione,14,,,,,MOLISE,0,0,237227,393,1,263,0,0,0,0,0,0,0,35722,41525,"46,24","53,76",,
150000000,italia,regione,15,,,,,CAMPANIA,0,0,4450554,5824,1,4429,0,0,0,0,0,0,0,565433,1098577,"33,98","66,02",,
160000000,italia,regione,16,,,,,PUGLIA,0,0,3173425,4032,1,3301,0,0,0,0,0,0,0,566254,753569,"42,90","57,10",,
170000000,italia,regione,17,,,,,BASILICATA,0,0,432962,683,1,574,0,0,0,0,0,0,0,75729,114668,"39,77","60,23",,
180000000,italia,regione,18,,,,,CALABRIA,0,0,1467963,2407,1,1713,0,0,0,0,0,0,0,210290,275677,"43,27","56,73",,
190000000,italia,regione,19,,,,,SICILIA,0,0,3861194,5306,1,3906,0,0,0,0,0,0,0,494014,781020,"38,75","61,25",,
200000000,italia,regione,20,,,,,SARDEGNA,0,0,1320821,1847,1,820,0,0,0,0,0,0,0,118697,172667,"40,74","59,26",,
